set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices
miss,186107,2556,2676,6463,54517,742282,12699,31923,5355,3,3,0,1065,3,1,529.82,1,0,2,1,0,0,0,3
miss,187169,2725,2814,10571,70811,744637,15919,37967,5379,3,3,0,1113,3,1,534.73,1,0,2,1,0,0,0,3
miss,187458,2618,2731,6479,60017,746514,12962,35567,5219,3,3,0,1419,3,1,581.54,1,0,2,1,0,0,0,3
miss,188149,2489,2631,6523,54487,705970,13579,30483,5327,3,3,0,955,3,1,494.63,1,0,2,1,0,0,0,3
miss,188858,2611,2749,6448,54728,763542,15515,26849,5339,3,3,0,1019,3,1,535.16,1,0,2,1,0,0,0,3
miss,189133,2572,2684,6491,56625,738646,12759,32811,5375,3,3,0,1745,3,1,534.09,1,1,2,1,0,0,0,3
miss,189677,2520,2669,6595,53551,733666,13024,27284,5347,3,3,0,1227,3,1,568.91,1,0,2,1,0,0,0,3
miss,189965,2501,2618,6523,53796,708182,12803,27667,8063,3,3,0,1077,3,1,497.38,1,0,2,1,0,0,0,3
miss,190483,2441,2567,6495,1895,755322,12915,23859,5439,3,3,0,1605,3,1,574.29,1,0,2,1,0,0,0,3
miss,190902,2620,2720,6539,56963,744286,13284,38719,5339,3,3,0,1263,3,2,556.67,1,0,2,1,0,0,0,3
miss,191604,2529,2656,6415,54483,736510,13043,23971,5351,3,3,0,1109,3,1,529.20,1,0,2,1,0,0,0,3
miss,192779,2697,2778,6503,53693,781837,12699,46505,5283,3,3,0,1377,3,1,534.12,1,0,2,1,0,0,0,3
miss,194214,2450,2563,6447,1895,761318,12707,30249,5199,3,3,0,1631,3,1,552.58,1,0,2,1,0,0,0,3
miss,194833,1690,1784,6375,1919,483614,12799,27789,5423,3,3,0,1047,3,1,293.98,1,0,2,1,0,0,0,3
miss,194976,2251,2362,6359,1919,687502,12716,27559,5427,2,2,0,2206,2,1,470.66,1,0,2,1,0,0,0,2
miss,195050,2517,2643,6447,54593,732778,13083,27841,5243,3,3,0,1065,3,1,516.58,1,0,2,1,0,0,0,3
miss,195879,2788,2903,6411,22581,790962,12891,30956,5511,3,3,0,1279,3,1,516.50,1,0,2,1,0,0,0,3
miss,196399,2630,2730,6423,58863,741638,13127,40943,5427,3,3,0,1147,3,1,509.78,1,0,2,1,0,0,0,3
miss,196568,2325,2468,10463,24751,685662,13059,29788,5327,3,3,0,1229,3,1,487.18,1,0,2,1,0,0,0,3
miss,196583,1481,1602,10531,62131,229522,13103,27207,7947,1,1,0,407,1,1,110.62,1,0,2,1,0,0,0,4
miss,196980,2467,2576,6439,53689,709218,12811,29631,5315,3,3,0,1395,3,1,473.90,1,0,2,1,0,0,0,3
miss,199170,2775,2894,11635,62108,796566,13239,34651,5335,3,3,0,1869,3,2,648.27,1,0,2,1,0,0,0,3
miss,202299,2735,2867,6483,22775,838946,14591,32317,5271,3,3,0,2491,3,1,605.07,1,0,2,1,0,0,0,3
miss,202644,2516,2658,6442,54475,734497,12755,27163,5407,3,3,0,1065,3,1,514.92,1,0,2,1,0,0,0,3
miss,203706,2542,2655,6439,57119,742598,12651,29151,5327,3,3,0,1113,3,1,510.61,1,0,2,1,0,0,0,3
miss,203994,2497,2607,6367,54495,715022,15719,31405,5267,3,3,0,1419,3,1,525.38,1,0,2,1,0,0,0,3
miss,204689,2535,2663,6391,54503,715370,13143,38801,5383,3,3,0,951,3,2,545.43,1,0,2,1,0,0,0,3
miss,205397,2675,2802,6479,59855,760738,12655,40331,5331,3,3,0,1015,3,1,550.20,1,0,2,1,0,0,0,3
miss,205670,1876,1980,6559,61957,486966,12791,31091,5330,1,1,0,579,1,1,485.19,1,1,2,1,0,0,0,1
miss,206214,2721,2818,8839,58401,779346,12951,44421,5411,3,3,0,1227,3,1,566.95,1,0,2,1,0,0,0,3
miss,206220,1458,1563,6463,53751,317104,12987,38711,5343,1,1,0,421,1,0,43.02,0,0,2,1,0,0,0,4
miss,206503,2685,2788,6611,59157,714134,12750,30031,5415,3,3,0,1077,3,1,501.37,1,0,2,1,0,0,0,3
miss,206761,1790,1916,15955,88999,404366,14311,34011,5399,1,1,0,437,1,1,373.88,1,0,2,0,0,0,0,3
